Id,Income,Age,Experience,Married,House_Ownership,Car_Ownership,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS
0,4421714.395097032,42.0,10.0,0.0,0.0,0.0,6.0,12.0
1,630514.3439974133,57.0,6.0,1.0,0.0,0.0,9.0,8.0
2,1791545.6385574676,44.0,11.0,0.0,0.0,1.0,5.0,10.0
3,2597226.825614708,59.0,11.0,0.0,1.0,0.0,5.0,16.0
4,6415673.579643737,47.0,6.0,0.0,1.0,0.0,7.0,10.0
5,7615955.864317066,48.0,9.0,0.0,0.0,0.0,10.0,13.0
6,9637241.495807689,58.0,11.0,0.0,1.0,0.0,8.0,9.0
7,2203962.1634849515,40.0,9.0,0.0,0.0,1.0,6.0,15.0
8,2792754.6623886386,47.0,9.0,0.0,0.0,0.0,6.0,9.0
9,9371437.170233708,50.0,8.0,1.0,0.0,0.0,7.0,15.0
10,5062600.448709375,43.0,7.0,0.0,0.0,1.0,6.0,9.0
11,7990093.451769431,49.0,13.0,1.0,0.0,0.0,6.0,16.0
12,5771590.124840264,46.0,9.0,0.0,0.0,0.0,2.0,18.0
13,4741974.410163334,43.0,9.0,0.0,0.0,1.0,3.0,16.0
14,99017.03797279112,47.0,13.0,0.0,0.0,1.0,4.0,7.0
15,7947989.598986054,51.0,9.0,0.0,0.0,0.0,7.0,12.0
16,6145091.221319807,47.0,11.0,0.0,0.0,1.0,6.0,12.0
17,2257869.8573530214,36.0,8.0,0.0,0.0,1.0,11.0,17.0
18,2889862.97715697,49.0,9.0,0.0,0.0,0.0,2.0,16.0
19,3601883.46950685,53.0,12.0,0.0,0.0,1.0,10.0,9.0
20,3177127.226982088,57.0,14.0,0.0,0.0,0.0,12.0,10.0
21,428091.3887608312,55.0,7.0,0.0,0.0,1.0,4.0,8.0
22,5290459.906674059,55.0,12.0,0.0,0.0,1.0,6.0,13.0
23,5399222.645354702,37.0,13.0,1.0,0.0,0.0,8.0,10.0
24,2084128.694701348,46.0,8.0,0.0,1.0,0.0,7.0,8.0
25,1465299.9693757775,47.0,7.0,1.0,0.0,0.0,5.0,12.0
26,3352433.2285250416,47.0,6.0,0.0,0.0,1.0,10.0,11.0
27,9325656.849045932,53.0,6.0,0.0,0.0,0.0,6.0,15.0
28,7689399.747195389,57.0,18.0,0.0,0.0,0.0,9.0,8.0
29,4118569.7186281905,55.0,11.0,0.0,1.0,1.0,4.0,22.0
30,4710042.847633048,42.0,11.0,0.0,0.0,1.0,6.0,13.0
31,4947012.73809654,42.0,10.0,0.0,0.0,0.0,6.0,16.0
32,2005580.6084444867,51.0,8.0,0.0,0.0,1.0,2.0,13.0
33,2487406.440998534,48.0,10.0,0.0,0.0,0.0,4.0,13.0
34,2854878.15392967,35.0,10.0,0.0,0.0,1.0,9.0,10.0
35,9317531.455934763,52.0,11.0,0.0,0.0,0.0,5.0,13.0
36,5025990.21053067,54.0,9.0,0.0,0.0,0.0,0.0,14.0
37,8845135.306062512,38.0,7.0,0.0,1.0,0.0,5.0,12.0
38,4390033.544621587,56.0,11.0,0.0,0.0,0.0,7.0,18.0
39,8356103.778590713,48.0,11.0,0.0,0.0,1.0,5.0,15.0
40,6070256.889654678,52.0,12.0,0.0,0.0,0.0,6.0,13.0
41,6289116.802535336,59.0,8.0,0.0,0.0,0.0,2.0,13.0
42,3707306.1303068716,61.0,12.0,0.0,0.0,1.0,10.0,14.0
43,6587714.029337048,58.0,14.0,0.0,0.0,1.0,3.0,13.0
44,8397812.856521748,49.0,13.0,0.0,0.0,1.0,8.0,12.0
45,2811129.0190758216,46.0,10.0,0.0,0.0,0.0,3.0,7.0
46,6853686.603111057,57.0,9.0,0.0,0.0,1.0,7.0,10.0
47,3995617.726626816,51.0,14.0,0.0,0.0,0.0,5.0,12.0
48,6520716.980047807,65.0,13.0,0.0,0.0,0.0,5.0,12.0
49,5507393.229230375,52.0,9.0,0.0,0.0,0.0,9.0,10.0
50,9318954.572644759,44.0,11.0,0.0,0.0,0.0,7.0,8.0
51,3184298.5284182085,49.0,12.0,0.0,0.0,0.0,10.0,17.0
52,8323592.369884716,43.0,9.0,0.0,0.0,0.0,8.0,12.0
53,7319993.094832733,52.0,4.0,0.0,0.0,1.0,10.0,15.0
54,5912578.068870526,35.0,7.0,0.0,0.0,1.0,6.0,12.0
55,7888081.715797227,49.0,15.0,1.0,0.0,1.0,7.0,11.0
56,42311.4437499335,48.0,12.0,0.0,0.0,0.0,4.0,15.0
57,4908426.3409461,48.0,7.0,0.0,0.0,0.0,4.0,12.0
58,6477265.384174442,61.0,7.0,0.0,0.0,1.0,6.0,9.0
59,9427359.964621235,63.0,8.0,0.0,0.0,0.0,8.0,10.0
60,290475.61357865296,56.0,9.0,0.0,0.0,1.0,9.0,11.0
61,9418913.787059829,43.0,8.0,0.0,0.0,0.0,6.0,16.0
62,6532061.3430386335,46.0,5.0,0.0,0.0,0.0,10.0,19.0
63,4307821.104821824,39.0,8.0,1.0,0.0,0.0,6.0,17.0
64,5297836.783691668,43.0,13.0,0.0,0.0,0.0,8.0,15.0
65,3456281.815596654,42.0,5.0,0.0,0.0,1.0,2.0,10.0
66,2056293.7484941892,44.0,9.0,0.0,0.0,0.0,2.0,13.0
67,3321152.9640493803,49.0,13.0,0.0,0.0,0.0,4.0,11.0
68,6380112.386658088,56.0,13.0,0.0,0.0,0.0,6.0,15.0
69,4717401.710521943,55.0,15.0,0.0,0.0,0.0,9.0,12.0
70,4456263.395123596,45.0,16.0,0.0,0.0,0.0,4.0,11.0
71,9377352.946562447,41.0,8.0,0.0,0.0,0.0,11.0,13.0
72,8087834.623130292,57.0,12.0,0.0,0.0,0.0,9.0,8.0
73,9202858.694639383,59.0,9.0,0.0,0.0,1.0,5.0,8.0
74,2756525.4788597245,51.0,6.0,0.0,0.0,0.0,3.0,11.0
75,8762748.421784896,42.0,13.0,1.0,0.0,1.0,5.0,14.0
76,5065331.908802747,46.0,14.0,0.0,0.0,0.0,5.0,18.0
77,5827370.6172051355,55.0,8.0,0.0,0.0,1.0,4.0,6.0
78,2295908.533603139,63.0,10.0,0.0,0.0,0.0,7.0,22.0
79,11891242.905172944,54.0,17.0,0.0,0.0,1.0,7.0,11.0
80,911802.6764145643,55.0,9.0,0.0,0.0,0.0,3.0,12.0
81,3306432.7545899777,49.0,9.0,0.0,0.0,0.0,6.0,9.0
82,6020399.3155296855,55.0,12.0,0.0,0.0,1.0,4.0,14.0
83,4804140.983991384,45.0,11.0,0.0,0.0,0.0,5.0,20.0
84,820723.4254361284,50.0,6.0,0.0,0.0,0.0,8.0,8.0
85,3976309.9024303537,47.0,6.0,0.0,0.0,1.0,10.0,9.0
86,7559731.493740174,43.0,15.0,0.0,0.0,0.0,7.0,7.0
87,4392416.859815132,50.0,8.0,0.0,0.0,0.0,7.0,9.0
88,5889083.4224292375,51.0,12.0,0.0,0.0,1.0,5.0,10.0
89,6344302.219230305,54.0,8.0,1.0,0.0,0.0,7.0,12.0
90,3923595.3695947058,58.0,6.0,1.0,0.0,0.0,7.0,9.0
91,12879176.482052013,58.0,8.0,0.0,0.0,0.0,4.0,13.0
92,6641571.037220151,43.0,13.0,0.0,0.0,0.0,10.0,13.0
93,3460875.16706051,46.0,11.0,0.0,0.0,1.0,3.0,15.0
94,4001797.3205073266,44.0,17.0,0.0,0.0,0.0,9.0,18.0
95,9494851.096471464,59.0,8.0,0.0,0.0,1.0,7.0,13.0
96,1990744.3811242706,39.0,10.0,1.0,0.0,1.0,0.0,13.0
97,8257061.40843679,40.0,16.0,0.0,0.0,1.0,6.0,13.0
98,2229028.046286248,45.0,9.0,0.0,0.0,1.0,4.0,9.0
99,5452265.243827061,59.0,13.0,0.0,0.0,0.0,5.0,15.0
100,6375012.082085641,62.0,6.0,0.0,0.0,1.0,4.0,9.0
101,3826403.806876324,74.0,7.0,0.0,0.0,0.0,3.0,15.0
102,6013831.0268437015,52.0,16.0,0.0,0.0,1.0,2.0,18.0
103,6583681.464319569,48.0,9.0,1.0,0.0,0.0,6.0,12.0
104,2209982.607143101,45.0,20.0,0.0,0.0,0.0,4.0,8.0
105,1635436.9380160877,37.0,7.0,0.0,0.0,1.0,6.0,12.0
106,2962006.056956741,39.0,7.0,0.0,0.0,0.0,6.0,9.0
107,9838640.255228635,44.0,13.0,0.0,0.0,0.0,8.0,13.0
108,2228487.699459347,53.0,11.0,0.0,0.0,0.0,5.0,19.0
109,7575707.444354869,48.0,6.0,0.0,0.0,0.0,2.0,15.0
110,3968421.4698722064,52.0,10.0,0.0,0.0,1.0,5.0,14.0
111,4534345.191529688,45.0,8.0,1.0,0.0,1.0,8.0,14.0
112,4758531.02227902,56.0,8.0,0.0,0.0,1.0,3.0,11.0
113,5525579.336776468,58.0,10.0,0.0,0.0,1.0,11.0,11.0
114,7291998.046180541,44.0,8.0,0.0,0.0,0.0,4.0,10.0
115,9371669.164215064,50.0,9.0,0.0,0.0,0.0,4.0,10.0
116,12500296.683045927,46.0,11.0,1.0,0.0,1.0,3.0,15.0
117,9287038.443511052,41.0,9.0,0.0,0.0,0.0,6.0,12.0
118,4800906.3445883775,40.0,17.0,0.0,0.0,0.0,4.0,14.0
119,2487714.5622675293,44.0,14.0,1.0,1.0,1.0,8.0,17.0
120,767453.2181153456,43.0,6.0,0.0,0.0,1.0,4.0,9.0
